smoker,charges
yes,16884.924
no,1725.5523
no,4449.462
no,21984.47061
no,3866.8552
no,3756.6216
no,8240.5896
no,7281.5056
no,6406.4107
no,28923.13692
no,2721.3208
yes,27808.7251
no,1826.843
no,11090.7178
yes,39611.7577
no,1837.237
no,10797.3362
no,2395.17155
no,10602.385
yes,36837.467
no,13228.84695
no,4149.736
no,1137.011
yes,37701.8768
no,6203.90175
no,14001.1338
no,14451.83515
no,12268.63225
no,2775.19215
yes,38711
yes,35585.576
no,2198.18985
no,4687.797
no,13770.0979
yes,51194.55914
no,1625.43375
no,15612.19335
no,2302.3
yes,39774.2763
yes,48173.361
no,3046.062
no,4949.7587
no,6272.4772
no,6313.759
no,6079.6715
no,20630.28351
no,3393.35635
no,3556.9223
no,12629.8967
yes,38709.176
no,2211.13075
no,3579.8287
yes,23568.272
yes,37742.5757
no,8059.6791
yes,47496.49445
no,13607.36875
yes,34303.1672
yes,23244.7902
no,5989.52365
no,8606.2174
no,4504.6624
no,30166.61817
no,4133.64165
yes,14711.7438
no,1743.214
no,14235.072
no,6389.37785
no,5920.1041
yes,17663.1442
yes,16577.7795
no,6799.458
no,11741.726
no,11946.6259
no,7726.854
no,11356.6609
no,3947.4131
no,1532.4697
no,2755.02095
no,6571.02435
no,4441.21315
no,7935.29115
yes,37165.1638
no,11033.6617
yes,39836.519
yes,21098.55405
yes,43578.9394
no,11073.176
no,8026.6666
no,11082.5772
no,2026.9741
no,10942.13205
yes,30184.9367
no,5729.0053
yes,47291.055
no,3766.8838
no,12105.32
no,10226.2842
yes,22412.6485
yes,15820.699
no,6186.127
no,3645.0894
no,21344.8467
yes,30942.1918
no,5003.853
yes,17560.37975
no,2331.519
no,3877.30425
no,2867.1196
yes,47055.5321
no,10825.2537
no,11881.358
no,4646.759
no,2404.7338
no,11488.31695
no,30259.99556
no,11381.3254
yes,19107.7796
no,8601.3293
no,6686.4313
no,7740.337
no,1705.6245
no,2257.47525
yes,39556.4945
no,10115.00885
no,3385.39915
yes,17081.08
no,9634.538
yes,32734.1863
no,6082.405
no,12815.44495
no,13616.3586
no,11163.568
no,1632.56445
no,2457.21115
no,2155.6815
no,1261.442
no,2045.68525
no,27322.73386
no,2166.732
no,27375.90478
no,3490.5491
yes,18972.495
no,18157.876
yes,20745.9891
no,5138.2567
yes,40720.55105
no,9877.6077
no,10959.6947
no,1842.519
no,5125.2157
no,7789.635
no,6334.34355
yes,19964.7463
no,7077.1894
no,6948.7008
yes,21223.6758
yes,15518.18025
yes,36950.2567
no,19749.38338
yes,21348.706
yes,36149.4835
no,10450.552
no,5152.134
no,5028.1466
no,10407.08585
no,4830.63
no,6128.79745
no,2719.27975
no,4827.90495
no,13405.3903
no,8116.68
no,1694.7964
no,5246.047
no,2855.43755
yes,48824.45
no,6455.86265
no,10436.096
no,8823.279
no,8538.28845
no,11735.87905
no,1631.8212
no,4005.4225
no,7419.4779
no,7731.4271
yes,43753.33705
no,3981.9768
no,5325.651
no,6775.961
no,4922.9159
no,12557.6053
no,4883.866
no,2137.6536
no,12044.342
no,1137.4697
no,1639.5631
no,5649.715
no,8516.829
no,9644.2525
no,14901.5167
no,2130.6759
no,8871.1517
no,13012.20865
yes,37133.8982
no,7147.105
no,4337.7352
no,11743.299
yes,20984.0936
no,13880.949
no,6610.1097
no,1980.07
no,8162.71625
no,3537.703
no,5002.7827
no,8520.026
no,7371.772
no,10355.641
no,2483.736
no,3392.9768
no,25081.76784
no,5012.471
no,10564.8845
no,5253.524
yes,34779.615
yes,19515.5416
no,11987.1682
no,2689.4954
no,24227.33724
no,7358.17565
no,9225.2564
no,7443.64305
no,14001.2867
no,1727.785
no,12333.828
no,6710.1919
yes,19444.2658
no,1615.7667
no,4463.2051
yes,17352.6803
no,7152.6714
yes,38511.6283
no,5354.07465
no,35160.13457
no,7196.867
yes,29523.1656
no,24476.47851
no,12648.7034
no,1986.9334
no,1832.094
no,4040.55825
yes,12829.4551
yes,47305.305
yes,44260.7499
no,4260.744
yes,41097.16175
no,13047.33235
yes,43921.1837
no,5400.9805
no,11520.09985
yes,33750.2918
no,11837.16
yes,17085.2676
yes,24869.8368
yes,36219.40545
no,20462.99766
yes,46151.1245
yes,17179.522
no,14590.63205
no,7441.053
no,9282.4806
no,1719.4363
yes,42856.838
no,7265.7025
no,9617.66245
no,2523.1695
no,9715.841
no,2803.69785
no,2150.469
no,12928.7911
no,9855.1314
yes,22331.5668
yes,48549.17835
no,4237.12655
no,11879.10405
no,9625.92
no,7742.1098
no,9432.9253
no,14256.1928
yes,47896.79135
no,25992.82104
no,3172.018
no,20277.80751
yes,42112.2356
no,2156.7518
no,3906.127
no,1704.5681
yes,16297.846
yes,21978.6769
yes,38746.3551
no,9249.4952
no,6746.7425
yes,24873.3849
no,12265.5069
no,4349.462
no,12646.207
no,19442.3535
no,20177.67113
no,4151.0287
no,11944.59435
no,7749.1564
no,8444.474
no,1737.376
yes,42124.5153
no,8124.4084
yes,34838.873
no,9722.7695
no,8835.26495
no,10435.06525
no,7421.19455
no,4667.60765
no,4894.7533
no,24671.66334
yes,35491.64
no,11566.30055
no,2866.091
no,6600.20595
no,3561.8889
yes,42760.5022
yes,47928.03
no,9144.565
yes,48517.56315
yes,24393.6224
no,13429.0354
no,11658.37915
no,19144.57652
no,13822.803
no,12142.5786
no,13937.6665
yes,41919.097
no,8232.6388
no,18955.22017
no,13352.0998
no,13217.0945
no,13981.85035
no,10977.2063
no,6184.2994
no,4889.9995
no,8334.45755
no,5478.0368
no,1635.73365
no,11830.6072
no,8932.084
no,3554.203
no,12404.8791
no,14133.03775
no,24603.04837
no,8944.1151
no,9620.3307
no,1837.2819
no,1607.5101
no,10043.249
no,4751.07
yes,13844.506
no,2597.779
no,3180.5101
no,9778.3472
no,13430.265
no,8017.06115
no,8116.26885
no,3481.868
no,13415.0381
no,12029.2867
no,7639.41745
yes,36085.219
no,1391.5287
yes,18033.9679
yes,21659.9301
yes,38126.2465
no,16455.70785
no,27000.98473
yes,15006.57945
yes,42303.69215
no,20781.48892
no,5846.9176
no,8302.53565
no,1261.859
no,11856.4115
no,30284.64294
no,3176.8159
no,4618.0799
no,10736.87075
no,2138.0707
no,8964.06055
no,9290.1395
no,9411.005
no,7526.70645
no,8522.003
no,16586.49771
no,14988.432
no,1631.6683
no,9264.797
no,8083.9198
no,14692.66935
no,10269.46
